,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
44,0.13263197,0.13253573,-21.704819,-21.709373,31.449816,31.47322,-0.034524936,-0.03449771,-0.004066115,-0.0040109404,,,,,,,,,,,,,839.0637,840.8494,1591.6498,1597.6276,,,1791.8922,1793.2354,,,2860.7441,2864.9954,,
45,0.14377724,0.14369267,-19.665781,-19.681704,27.248446,27.284424,-0.018982729,-0.019009097,-0.004358234,-0.004402498,,,,,,,,,,,,,892.9471,894.1472,1796.6841,1802.2129,,,1822.4918,1823.9067,,,2871.0027,2872.5195,,
46,0.147147,0.14707048,-17.822756,-17.831945,26.879023,26.891397,-0.019103862,-0.019150192,-0.0065620965,-0.0065806806,,,,,,,,,,,,,887.55444,888.7405,1766.3539,1772.1172,,,1814.652,1815.6495,,,2945.119,2945.365,,
47,0.1506756,0.15053989,-20.375708,-20.38558,29.058832,29.063925,-0.03262941,-0.032676563,-0.0025744974,-0.0025489528,,,,,,,,,,,,,748.78705,749.0371,1693.4209,1698.6239,,,1772.7072,1773.4873,,,2875.051,2873.332,,
48,0.1499838,0.14984648,-21.725447,-21.726545,31.696991,31.70468,-0.04600342,-0.04604079,0.0035548124,0.003618663,,,,,,,,,,,,,720.77216,721.2059,1384.2999,1388.3608,,,1812.7108,1812.3424,,,2854.6853,2852.6887,,
49,0.15526985,0.15514569,-20.349102,-20.352434,30.84226,30.861002,-0.033735234,-0.03377158,0.006999253,0.0069873594,,,,,,,,,,,,,698.0463,697.7515,1628.7775,1632.8668,,,1688.0673,1687.4872,,,2738.4246,2737.5598,,
50,0.15797001,0.15781404,-20.429213,-20.434704,32.872677,32.875675,-0.03481185,-0.034859106,0.0072338483,0.0072102915,,,,,,,,,,,,,731.5867,731.30206,1637.3617,1641.1525,,,1643.3392,1642.2997,,,2795.6292,2795.006,,
51,0.16603336,0.16589355,-20.131996,-20.139795,31.46048,31.449541,-0.03630911,-0.03634743,0.005505476,0.0054914206,,,,,,,,,,,,,764.35333,764.3914,1718.9585,1722.3794,,,1628.3593,1628.4634,,,2804.6545,2804.1497,,
52,0.16949312,0.16933906,-18.997423,-19.003391,29.368675,29.341478,-0.03779261,-0.03786056,0.0068440177,0.006859017,,,,,,,,,,,,,617.9355,618.2578,1496.5592,1496.9723,,,1581.0917,1581.4772,,,2699.9138,2699.785,,
53,0.17379183,0.17368303,-17.553679,-17.552683,26.61788,26.594767,-0.03590445,-0.03594264,0.0075282343,0.007538742,,,,,,,,,,,,,862.7417,864.2754,1359.8322,1360.1876,,,1706.3549,1704.0231,,,2676.8157,2677.1926,,
