start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:01.140000,0 days 00:00:01.160000,0.36607775,-5.5981083,39.310013,-0.017287431,0.019017698,35.09599,0.030172542,2.115759,3.968209,12.588562,29.39202,716.5405,1474.6675,5.2381244,1383.5,5.1308765,2674.8943,-23.587296
0 days 00:00:01.150000,0 days 00:00:01.170000,0.42282644,-2.4357493,37.746902,-0.0023675188,0.020399513,35.05525,0.015313559,1.5535754,4.037909,14.255238,27.455292,917.5102,1248.3241,-0.39280987,1489.8563,3.5976226,2729.9595,-21.897339
0 days 00:00:01.160000,0 days 00:00:01.180000,0.42609692,-2.18485,34.862682,0.008799449,0.020713983,35.0338,0.0039167413,1.5017154,3.806706,15.464196,37.63253,905.45795,1198.0259,-69.34496,1481.2642,-65.21424,2750.1511,-88.48255
0 days 00:00:01.170000,0 days 00:00:01.190000,0.37028053,-4.9531536,31.808744,0.00403163,0.017114116,0.0,0.0,0.0,0.0,0.0,0.0,614.3528,1300.5527,-137.7647,1467.4254,-133.63397,2451.9817,-145.03125
0 days 00:00:01.180000,0 days 00:00:01.200000,0.2987517,-10.112674,30.246656,-0.0021811414,0.0076809316,0.0,0.0,0.0,0.0,0.0,0.0,426.55374,1471.9501,-201.0,1411.0079,-201.0,2223.3787,-201.0
0 days 00:00:01.190000,0 days 00:00:01.210000,0.23564374,-14.920293,30.463997,-0.011585894,-0.0020833616,0.0,0.0,0.0,0.0,0.0,0.0,448.51352,1408.1781,-201.0,1491.5879,-201.0,2331.4807,-201.0
0 days 00:00:01.200000,0 days 00:00:01.220000,0.20918953,-17.658417,31.147223,-0.018683711,-0.0067707,0.0,0.0,0.0,0.0,0.0,0.0,465.10556,1325.9551,-201.0,1528.1039,-201.0,2411.8154,-201.0
0 days 00:00:01.210000,0 days 00:00:01.230000,0.19734608,-19.017416,32.330414,-0.03145349,-0.0027453918,0.0,0.0,0.0,0.0,0.0,0.0,428.33545,1182.2341,-201.0,1449.7334,-201.0,2388.532,-201.0
0 days 00:00:01.220000,0 days 00:00:01.240000,0.18986113,-17.771608,30.768906,-0.038424097,0.00013167101,0.0,0.0,0.0,0.0,0.0,0.0,431.8601,1138.5238,-201.0,1422.849,-201.0,2472.415,-201.0
0 days 00:00:01.230000,0 days 00:00:01.250000,0.17853434,-17.439882,29.430624,-0.03819536,0.0047458736,0.0,0.0,0.0,0.0,0.0,0.0,392.28088,1252.5293,-201.0,1375.7645,-201.0,2528.7903,-201.0
0 days 00:00:01.240000,0 days 00:00:01.260000,0.1740874,-14.871278,26.702406,-0.030669516,0.010728578,0.0,0.0,0.0,0.0,0.0,0.0,389.7438,1268.1333,-201.0,1379.837,-201.0,2559.944,-201.0
0 days 00:00:01.250000,0 days 00:00:01.270000,0.2034169,-12.626407,29.268347,-0.036997244,0.015370999,0.0,0.0,0.0,0.0,0.0,0.0,536.38116,1382.7194,-201.0,1463.3197,-201.0,2666.2275,-201.0
0 days 00:00:01.260000,0 days 00:00:01.280000,0.21943872,-10.969681,31.508978,-0.03971009,0.014468494,0.0,0.0,0.0,0.0,0.0,0.0,623.98724,1412.9736,-201.0,1519.4048,-201.0,2763.55,-201.0
0 days 00:00:01.270000,0 days 00:00:01.290000,0.22223389,-10.020659,34.062595,-0.045561183,0.01106768,0.0,0.0,0.0,0.0,0.0,0.0,679.42645,1440.5547,-201.0,1518.7604,-201.0,2813.159,-201.0
0 days 00:00:01.280000,0 days 00:00:01.300000,0.19980681,-11.386504,34.768414,-0.040888663,0.0075836685,0.0,0.0,0.0,0.0,0.0,0.0,700.60504,1321.8336,-201.0,1656.83,-201.0,2795.8347,-201.0
