start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:04.310000,0 days 00:00:04.330000,0.34621552,-14.734822,19.782684,-0.06462126,-0.011783014,13.759544,0.028890446,0.016986923,-4.140965,14.6194105,26.441109,355.6548,1161.8098,-8.761573,1451.6708,-20.680376,2591.2354,-21.772285
0 days 00:00:04.320000,0 days 00:00:04.340000,0.31825283,-14.18311,20.045816,-0.049472366,-0.012485989,13.281383,0.026694817,1.3277079,-2.5552688,14.267582,27.063314,357.23438,1088.4655,-10.009023,1463.2886,-20.90284,2506.2678,-22.1052
0 days 00:00:04.330000,0 days 00:00:04.350000,0.27521285,-14.544445,21.698095,-0.043348987,-0.01158411,13.336128,0.02095261,1.8199207,-2.149696,14.325931,29.257994,368.06836,1136.7738,-11.428791,1403.8573,-21.189234,2384.6902,-24.045753
0 days 00:00:04.340000,0 days 00:00:04.360000,0.25819105,-15.995473,24.535452,-0.03539552,-0.012968828,13.70588,0.016983692,2.3121336,-2.426348,14.682435,30.893332,376.20145,1103.1743,-12.253013,1353.3041,-21.136436,2390.3718,-25.985123
0 days 00:00:04.350000,0 days 00:00:04.370000,0.24950017,-17.104689,28.223215,-0.03103964,-0.014746957,13.721207,0.0,1.0917948,-3.3585618,13.691113,30.811813,380.155,1244.5643,-12.6382675,1315.066,-20.091463,2348.4988,-26.049185
0 days 00:00:04.360000,0 days 00:00:04.380000,0.2496955,-18.131311,29.451979,-0.039340828,-0.0144846765,13.431503,0.02613786,0.6899639,-4.510821,11.436401,29.640627,345.08853,1342.9491,-8.74255,1306.5021,-19.391798,2338.0647,-24.959616
0 days 00:00:04.370000,0 days 00:00:04.390000,0.24754345,-17.82941,29.302195,-0.049693335,-0.008833888,12.772244,0.0,0.3816305,-4.5572796,9.720487,28.63859,300.10117,1557.4838,-9.325202,1260.7465,-19.626402,2291.9553,-24.397196
0 days 00:00:04.380000,0 days 00:00:04.400000,0.25256297,-18.157719,27.751825,-0.05796738,-0.006196517,13.171536,0.013843072,0.47512794,-4.368507,9.414126,28.762629,243.9067,1653.0306,-7.6242924,1283.1522,-20.340797,2319.5908,-25.144377
0 days 00:00:04.390000,0 days 00:00:04.410000,0.24426837,-17.426308,27.302027,-0.04953118,-0.007103778,13.278073,0.044075247,0.49876845,-4.372189,11.074035,30.200312,220.5836,1723.6099,-10.509901,1256.2422,-22.260284,2262.1946,-27.077377
0 days 00:00:04.400000,0 days 00:00:04.420000,0.23750903,-17.977304,27.965004,-0.05010888,-0.0075587197,13.518745,0.09092019,0.44101164,-5.104616,13.125445,31.851099,229.64241,1677.1938,-10.230128,1280.857,-20.910988,2291.0408,-27.963606
0 days 00:00:04.410000,0 days 00:00:04.430000,0.22742064,-17.490349,27.677893,-0.05058031,-0.009356085,13.254218,0.09745035,0.81496423,-5.2710576,13.750221,32.35235,292.91452,1581.0924,-10.315368,1275.0023,-19.267677,2338.202,-26.229456
0 days 00:00:04.420000,0 days 00:00:04.440000,0.23389359,-18.6055,28.437101,-0.054397125,-0.012703191,13.542663,0.07374833,1.2587738,-4.599382,12.427269,33.144398,364.34384,1740.1097,-11.319873,1380.4877,-17.385405,2592.2246,-25.677801
0 days 00:00:04.430000,0 days 00:00:04.450000,0.24406898,-18.698654,28.26899,-0.050950635,-0.012996629,13.815494,0.04666083,1.8279308,-3.8098495,10.579346,33.00472,589.67993,1662.6815,-11.35809,1583.5729,-19.533371,2826.0085,-26.233347
0 days 00:00:04.440000,0 days 00:00:04.460000,0.24765474,-18.163342,28.815226,-0.060100943,-0.009062204,13.8691435,0.05327447,1.9653782,-3.411624,9.205035,33.5847,794.51556,1594.7301,-13.731655,1830.807,-23.18395,3075.7825,-29.657583
