,Loudness_sma3,Loudness_sma3,alphaRatio_sma3,alphaRatio_sma3,hammarbergIndex_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope0-500_sma3,slope500-1500_sma3,slope500-1500_sma3,spectralFlux_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc1_sma3,mfcc2_sma3,mfcc2_sma3,mfcc3_sma3,mfcc3_sma3,mfcc4_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0_sma3nz
,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
24,0.12414789,0.12413367,-29.394094,-29.39347,43.182602,43.13452,-0.054959167,-0.05500014,-0.0033009676,-0.003198345,0.06061485,0.060605183,26.630424,26.706682,20.323381,20.16395,13.808824,14.027997,9.431947,9.220872,,,,,,,,,,,,,935.64575,936.9043,1482.3776,1480.724,,,2070.021,2070.7947,1357.8116,1355.7887,,,3185.6292,3188.826,1367.2333,1364.4657,,
25,0.11519784,0.11520281,-25.995127,-25.992422,39.81427,39.79298,-0.04797621,-0.04803135,-0.0034414728,-0.0033146332,0.10439581,0.10443469,25.8563,25.972275,18.84951,18.615866,11.335494,11.648594,13.04436,12.74649,,,,,,,,,,,,,996.53925,999.31177,1593.6266,1592.5406,,,2042.7308,2044.9347,1247.7341,1247.6537,,,3254.3665,3255.1653,1050.0928,1049.4198,,
26,0.11207595,0.11206585,-23.654573,-23.660723,37.558945,37.553516,-0.03736956,-0.037410513,-0.0072109066,-0.0070649334,0.101851456,0.10192532,26.833784,26.966644,18.324974,18.071947,9.770279,10.129378,13.257882,12.924592,,,,,,,,,,,,,789.40576,790.20844,1726.5533,1718.3136,,,1769.083,1769.6315,1168.1261,1170.0925,,,2944.5964,2944.5781,761.07587,764.07587,,
27,0.10716143,0.107107736,-21.571634,-21.588213,32.86926,32.864136,-0.026403988,-0.02647953,-0.009407175,-0.009379855,0.10025071,0.10034883,26.985556,27.138847,17.796078,17.515755,8.8083,9.268034,13.761474,13.3378,,,,,,,,,,,,,579.37836,579.3145,1600.403,1592.0094,,,1642.2661,1641.1046,1005.83966,1005.1248,,,2751.8223,2749.8167,827.2512,824.8786,,
28,0.108539164,0.10850815,-23.857834,-23.874437,35.667454,35.674976,-0.043146174,-0.043197233,-0.004375558,-0.0043850373,0.06475252,0.06479207,28.04439,28.159653,16.604704,16.359306,10.431461,10.8447485,15.389141,15.025582,,,,,,,,,,,,,677.0517,676.0367,1503.5762,1496.187,,,1686.5465,1685.0592,1027.9741,1027.9257,,,2799.765,2797.7341,780.1331,779.73584,,
29,0.10667426,0.10664046,-23.950432,-23.965525,36.264053,36.304775,-0.048901454,-0.04894569,0.0020376344,0.001953546,0.06725811,0.06733569,26.381994,26.489428,14.480705,14.257355,10.1868105,10.5441065,15.585141,15.244762,,,,,,,,,,,,,579.75635,579.95294,1313.9711,1315.7051,,,1553.8568,1553.5742,1018.1408,1019.066,,,2606.019,2604.1724,914.77167,915.001,,
30,0.10979248,0.10974619,-26.85074,-26.85995,42.6102,42.68616,-0.061790574,-0.061795842,0.00180506,0.0017833547,0.10576725,0.105822586,27.358847,27.484556,14.8187,14.600125,9.190463,9.48478,19.004398,18.67401,,,,,,,,,,,,,826.4243,826.4995,1315.0944,1318.0725,,,1884.2588,1884.1952,1044.6118,1048.3575,,,3071.805,3072.4512,916.8963,925.623,,
31,0.11224112,0.112170614,-26.249739,-26.257837,41.77064,41.84493,-0.049793404,-0.04974537,0.0038353328,0.0037989516,0.13328284,0.13337158,25.435678,25.59401,13.88679,13.650517,13.042399,13.350978,20.77217,20.388342,,,,,,,,,,,,,637.97546,637.6309,1308.6553,1310.1534,,,1767.2026,1767.2198,955.2092,958.11774,,,2931.3867,2931.9695,978.32794,985.863,,
32,0.1327231,0.13254237,-26.14913,-26.160248,39.151157,39.19122,-0.04640114,-0.04634062,0.0011119422,0.0011033191,0.16040212,0.16052383,22.83879,23.031225,17.997358,17.728533,14.793259,15.1591215,22.93663,22.530115,,,,,,,,,,,,,951.6912,951.68164,1193.6066,1193.1898,,,2130.1897,2130.3088,873.91064,875.6828,,,3327.1506,3328.326,946.8684,951.94775,,
33,0.14283083,0.14268216,-24.347122,-24.359085,35.19342,35.215805,-0.04369989,-0.043635417,-0.0011363067,-0.0011284725,0.1264493,0.12661764,22.618063,22.788368,19.135778,18.894197,16.42283,16.759123,19.44888,19.079126,,,,,,,,,,,,,853.1827,853.314,1260.0818,1259.6411,,,1930.2485,1929.9082,859.1209,859.4183,,,3049.872,3049.6104,826.03613,824.7922,,
34,0.14844684,0.14830524,-23.512512,-23.525808,34.638454,34.638508,-0.04298964,-0.04298156,-0.00051678135,-0.000557275,0.1125865,0.11279979,23.992706,24.15243,19.483686,19.258242,11.160752,11.498168,17.535103,17.152441,,,,,,,,,,,,,1022.45953,1021.3455,1376.5602,1372.0905,,,2052.0154,2050.3733,986.4551,983.34015,,,3243.1746,3237.575,950.2028,944.7176,,
35,0.1345979,0.13453801,-22.281057,-22.306787,33.59425,33.62041,-0.034056336,-0.03406052,-0.00017735774,-0.00023754842,0.08927413,0.08945274,27.444708,27.573053,16.806269,16.64786,10.203827,10.491668,13.585273,13.210181,,,,,,,,,,,,,664.73065,665.51544,1609.4205,1599.2773,,,1721.8878,1719.5161,1125.0951,1120.6686,,,2936.7588,2929.1406,1013.1888,1009.14935,,
36,0.12658353,0.12653254,-23.33744,-23.358389,34.19409,34.20345,-0.033624414,-0.033658355,0.0023102418,0.0022446916,0.11120259,0.11139316,27.048012,27.1866,17.520752,17.326338,11.487147,11.818481,14.043254,13.583969,,,,,,,,,,,,,673.737,672.9446,1606.2123,1589.7137,,,1714.5582,1711.3203,1152.2179,1140.7943,,,2931.4788,2922.2498,916.03204,911.2759,,
37,0.12098118,0.12096191,-25.614424,-25.626207,35.812878,35.867355,-0.047086854,-0.04722323,0.00079226494,0.000834022,0.09307896,0.09324203,26.749243,26.879486,20.498396,20.278559,14.640594,14.966026,17.36224,16.874779,,,,,,,,,,,,,827.7585,826.6035,1531.2426,1519.7773,,,1925.7384,1922.7545,1475.1263,1499.8477,,,2878.6394,2844.068,1435.9756,1366.3418,,
38,0.12387922,0.12386312,-27.894342,-27.889322,37.96786,38.01039,-0.05386153,-0.05400005,-0.0014770891,-0.0014404329,0.0949561,0.09508593,27.797892,27.953056,22.494009,22.18762,15.68451,16.084291,19.92841,19.37597,,,,,,,,,,,,,1052.305,1049.7423,1531.0521,1528.9681,,,2076.5466,2074.3699,1478.0775,1507.5758,,,2979.6125,2946.4714,1462.1444,1394.8724,,
39,0.12614425,0.12610118,-25.729645,-25.73085,34.47011,34.525646,-0.048618507,-0.048740935,-0.0044491715,-0.0044228123,0.07709622,0.07717182,27.411919,27.575811,22.08371,21.797821,12.943481,13.291242,21.549337,21.052458,,,,,,,,,,,,,1036.8059,1035.4905,1559.6611,1559.5977,,,2057.6758,2056.348,1392.4706,1426.647,,,3013.419,2982.996,1479.8563,1416.9121,,
40,0.12570548,0.12562789,-21.523184,-21.53597,31.171791,31.22399,-0.025363265,-0.025385834,-0.0027605332,-0.0028599733,0.07139889,0.07142637,25.132452,25.314917,20.08972,19.839212,8.707373,9.021114,18.444386,18.00092,,,,,,,,,,,,,722.0391,721.35114,1640.3755,1650.4371,,,1687.4229,1687.34,1164.3458,1176.994,,,2731.8953,2723.9417,1112.7539,1130.5214,,
41,0.12477855,0.12474289,-19.899208,-19.910292,29.586472,29.606047,-0.02652332,-0.026519211,-0.00061742694,-0.00076807867,0.060724705,0.06074075,22.786858,22.97644,19.496653,19.235044,5.4484634,5.8032074,19.560472,19.048223,,,,,,,,,,,,,546.67474,545.4693,1552.9296,1558.6425,,,1557.4581,1557.8228,1204.4342,1212.5109,,,2567.1533,2561.1309,1171.6364,1181.4443,,
42,0.1256786,0.12566335,-19.424791,-19.422577,31.606897,31.611254,-0.024624119,-0.024573276,-0.0008063933,-0.0008767016,0.050587606,0.05061544,22.43596,22.647316,19.847776,19.517845,4.240541,4.6817565,18.94829,18.357466,,,,,,,,,,,,,543.6137,543.3545,1532.2583,1544.4756,,,1548.1299,1549.2826,1227.1033,1238.794,,,2552.4846,2548.362,1195.7866,1204.2891,,
43,0.12960304,0.12953164,-23.67866,-23.678194,33.981537,33.967197,-0.041083787,-0.041016202,-0.0018056176,-0.0018014038,0.08780239,0.0878658,23.917955,24.120157,22.631685,22.305285,6.9580765,7.400271,20.63122,20.056322,,,,,,,,,,,,,715.5323,716.7243,1449.0128,1451.4738,,,1730.5244,1731.8568,1157.1073,1159.5083,,,2763.5725,2768.1628,961.74243,960.1766,,
44,0.13263197,0.13253573,-21.704819,-21.709373,31.449816,31.47322,-0.034524936,-0.03449771,-0.004066115,-0.0040109404,0.12101716,0.121076845,23.041143,23.233961,21.611238,21.323282,6.578078,6.956284,19.264673,18.739424,,,,,,,,,,,,,839.0637,840.8494,1591.6498,1597.6276,,,1791.8922,1793.2354,1113.5641,1119.3337,,,2860.7441,2864.9954,809.7227,813.0999,,
45,0.14377724,0.14369267,-19.665781,-19.681704,27.248446,27.284424,-0.018982729,-0.019009097,-0.004358234,-0.004402498,0.11967817,0.11976255,21.36648,21.520807,20.200819,19.976702,4.7627845,5.127154,16.818024,16.315142,,,,,,,,,,,,,892.9471,894.1472,1796.6841,1802.2129,,,1822.4918,1823.9067,1170.3488,1175.1895,,,2871.0027,2872.5195,760.3125,763.4295,,
46,0.147147,0.14707048,-17.822756,-17.831945,26.879023,26.891397,-0.019103862,-0.019150192,-0.0065620965,-0.0065806806,0.11053809,0.1106503,19.922861,20.083113,18.823576,18.576338,1.7830526,2.1779153,16.078781,15.542328,,,,,,,,,,,,,887.55444,888.7405,1766.3539,1772.1172,,,1814.652,1815.6495,1104.5323,1109.9244,,,2945.119,2945.365,764.82904,769.5417,,
47,0.1506756,0.15053989,-20.375708,-20.38558,29.058832,29.063925,-0.03262941,-0.032676563,-0.0025744974,-0.0025489528,0.07046304,0.07057471,20.10919,20.277712,19.778755,19.530851,3.820018,4.179725,19.323036,18.855711,,,,,,,,,,,,,748.78705,749.0371,1693.4209,1698.6239,,,1772.7072,1773.4873,1113.5431,1118.735,,,2875.051,2873.332,918.36035,925.6445,,
