start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:08.200000,0 days 00:00:08.220000,0.1017898,-21.75032,27.36828,-0.030730575,-0.007799858,0.051792324,26.250547,15.62313,12.323237,10.18261,0.0,0.0,0.0,0.0,0.0,0.0,711.3047,1423.044,-201.0,1818.665,989.8831,-201.0,2980.388,1111.3568,-201.0
0 days 00:00:08.210000,0 days 00:00:08.230000,0.0997409,-21.193872,27.674723,-0.025129184,-0.004935706,0.047440514,26.283157,15.341133,9.438591,7.9684052,0.0,0.0,0.0,0.0,0.0,0.0,744.4507,1532.8969,-201.0,1867.0508,1047.04,-201.0,3198.0823,1126.89,-201.0
0 days 00:00:08.220000,0 days 00:00:08.240000,0.10448631,-22.222696,30.435516,-0.02745906,0.0011703827,0.064613335,27.315672,15.435455,6.742817,7.6611953,0.0,0.0,0.0,0.0,0.0,0.0,810.2045,1680.5651,-201.0,2017.0033,1287.9083,-201.0,3365.4797,1351.878,-201.0
0 days 00:00:08.230000,0 days 00:00:08.250000,0.108005844,-25.440964,36.250973,-0.034661844,0.0013234544,0.056948543,28.685425,17.654024,7.720215,11.552444,0.0,0.0,0.0,0.0,0.0,0.0,878.57294,2030.9346,-201.0,1959.7734,1520.434,-201.0,3340.7937,1315.4639,-201.0
0 days 00:00:08.240000,0 days 00:00:08.260000,0.112778686,-24.450068,35.32616,-0.02986213,0.00215327,0.0905838,29.253435,17.188185,9.248252,13.648102,0.0,0.0,0.0,0.0,0.0,0.0,844.509,1998.5453,-201.0,1841.0454,1496.8458,-201.0,3074.9265,1216.8029,-201.0
0 days 00:00:08.250000,0 days 00:00:08.270000,0.105372675,-23.308023,35.48506,-0.024836242,-0.003854664,0.0709973,28.70933,17.465837,8.216014,12.165654,0.0,0.0,0.0,0.0,0.0,0.0,611.4978,1949.0044,-201.0,1520.2656,1439.6554,-201.0,2691.009,1082.9407,-201.0
0 days 00:00:08.260000,0 days 00:00:08.280000,0.10140886,-21.764029,34.4774,-0.019325435,-0.0068675824,0.073231764,27.318352,15.162105,6.6895103,4.5783973,0.0,0.0,0.0,0.0,0.0,0.0,415.66006,1698.3309,-201.0,1414.6906,1532.1224,-201.0,2442.9102,1050.0363,-201.0
0 days 00:00:08.270000,0 days 00:00:08.290000,0.09867432,-25.178473,39.148834,-0.040176734,-0.0063662585,0.059668884,27.637527,16.907421,9.585248,8.155348,0.0,0.0,0.0,0.0,0.0,0.0,392.81787,1695.3424,-201.0,1454.9839,1573.9194,-201.0,2441.2664,1466.8905,-201.0
0 days 00:00:08.280000,0 days 00:00:08.300000,0.100001015,-26.343966,38.494694,-0.048865665,-0.004695443,0.065376125,26.572733,16.697372,12.256691,10.780299,0.0,0.0,0.0,0.0,0.0,0.0,413.21622,1635.084,-201.0,1580.7096,1504.149,-201.0,2468.8682,1730.3047,-201.0
0 days 00:00:08.290000,0 days 00:00:08.310000,0.097234584,-25.160925,36.856647,-0.047697555,0.001832632,0.076423354,25.647108,17.623047,13.786372,15.18554,0.0,0.0,0.0,0.0,0.0,0.0,405.82248,1449.6685,-201.0,1578.5055,1219.6005,-201.0,2481.7502,1679.1895,-201.0
