file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.020000,0 days 00:00:03.040000,0.6079744,-7.2909207,9.7525835,-0.027262235,-0.0104356855,0.18420522,-7.3935447,43.63058,-8.300725,17.197655,0.0,0.0,0.0,0.0,0.0,0.0,387.54443,964.4003,-201.0,1554.731,416.69315,-201.0,2625.7634,186.01674,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.030000,0 days 00:00:03.050000,0.6508693,-5.144592,8.681308,-0.05504562,-0.00989071,0.19050087,-10.694981,41.08601,-6.408386,11.684859,0.0,0.0,0.0,0.0,0.0,0.0,432.06503,905.48065,-201.0,1606.4603,312.9746,-201.0,2563.7292,100.228676,-201.0
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.040000,0 days 00:00:03.060000,0.67936295,-2.6966507,6.632211,-0.05717054,-0.014555399,0.18770766,-11.764512,34.99068,-1.9377388,8.336899,0.0,0.0,0.0,0.0,0.0,0.0,451.78394,796.101,-132.27628,1589.8073,120.74862,-140.32945,2534.4688,98.76324,-137.51968
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.050000,0 days 00:00:03.070000,0.6816988,-5.5573783,8.484372,-0.038935527,-0.020454582,0.26127708,-5.133905,30.61799,4.7911844,2.7025878,34.053944,0.0,0.0,5.215502,3.8487077,17.63892,439.84018,817.5318,-63.111164,1587.652,241.10687,-79.73121,2531.8965,263.1146,-74.870445
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.060000,0 days 00:00:03.080000,0.79386044,-8.663479,10.483547,0.016612053,-0.029188499,0.48990908,5.788359,19.982462,11.089233,-3.2688587,33.997528,0.0,0.0,6.2181563,4.1775036,18.518656,407.60098,913.61615,6.0247674,1597.1519,372.23294,-20.171217,2634.5447,626.92993,-12.493889
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.070000,0 days 00:00:03.090000,0.97466534,-11.571521,14.16344,0.05358118,-0.037218943,0.60970324,15.495084,11.562537,19.536074,-11.599704,33.861942,0.0,0.0,7.714845,4.9874654,19.892485,386.85635,1001.7886,6.0317726,1632.2699,471.9408,-22.055374,2643.4473,871.70703,-13.860711
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.080000,0 days 00:00:03.100000,1.1446685,-11.445111,15.453397,0.07034322,-0.04103715,0.61960596,20.425598,2.5183508,27.038889,-17.86342,33.700638,0.0,0.5929299,7.409105,6.2331567,20.021912,384.2435,1053.9082,5.0310044,1674.0907,486.9922,-25.165304,2624.3945,978.85913,-14.990907
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.090000,0 days 00:00:03.110000,1.0972122,-12.145595,17.103136,0.07149344,-0.041870117,0.48416746,22.910082,2.8858397,31.42418,-19.895416,33.416317,0.007952953,0.5374972,6.4981236,9.580148,22.885939,400.11844,1165.2272,3.615673,1783.0592,485.343,-27.618639,2673.245,1085.9454,-19.270266
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.100000,0 days 00:00:03.120000,0.8726283,-13.643836,17.498915,0.049583018,-0.033114355,0.53953886,25.342405,5.7504344,27.980951,-13.601105,33.310757,0.008430698,0.98754007,5.4187984,11.005151,27.045563,400.67505,1388.9298,2.4320738,1799.5597,843.0008,-29.38713,2621.0352,1064.3358,-24.61349
sample_wav/mono_first_ten_Sample_HV_Clip.wav,0 days 00:00:03.110000,0 days 00:00:03.130000,0.629896,-15.711793,19.820662,0.03804993,-0.026968354,0.488423,27.306519,9.189742,21.195986,-4.3736796,33.322716,0.0077640153,1.5784501,3.4555016,12.580125,29.318617,405.93918,1462.5063,2.0305347,1698.1207,1119.7699,-26.934427,2528.8245,1069.4366,-27.28808
